id_venta,fecha,id_cliente,producto,importe
587,2025-03-29,46248,Auriculares,1466.56
588,2026-02-25,9087,Movil,71.84
589,2025-07-07,69721,TV,1677.44
590,2024-12-02,32366,Movil,79.22
591,2025-02-05,33298,Tablet,634.61
592,2025-09-05,3138,Movil,1329.34
593,2024-07-01,47108,PC,976.76
594,2025-07-12,63879,Tablet,930.48
595,2024-04-27,2207,Auriculares,962.88
596,2025-01-14,26656,PC,1934.56
536,2026-01-09,71226,PC,1987.49
597,2024-07-19,40969,TV,170.15
598,2024-11-04,1401,Tablet,1514.64
599,2025-05-25,90164,Movil,972.0
600,2025-07-24,13608,Tablet,724.8
601,2026-01-15,39545,Tablet,1247.89
602,2024-07-05,29258,PC,401.01
603,2024-05-08,30081,Auriculares,1912.27
604,2026-01-09,88801,Movil,1275.01
605,2024-12-01,35472,PC,392.78
606,2025-03-19,73479,Tablet,1314.18
607,2025-07-20,67873,PC,1022.52
608,2026-04-08,86419,PC,1502.73
609,2025-06-08,30086,PC,735.67
610,2026-03-11,94650,PC,1711.64
611,2025-01-03,4567,Auriculares,269.93
612,2025-12-27,42698,Auriculares,177.68
613,2026-01-13,29341,Movil,253.49
614,2025-06-06,52894,Unknown,500.76
615,2025-03-01,35242,Tablet,545.73
616,2024-07-29,67010,Movil,1208.45
617,2025-01-15,98679,Auriculares,281.54
618,2025-01-19,93899,Auriculares,1889.41
619,2025-01-24,98653,Auriculares,1727.75
620,2025-12-31,38611,Tablet,1379.82
621,2024-04-30,53338,Movil,1280.34
624,2024-08-31,19545,PC,1612.28
625,2025-02-20,54768,PC,876.84
626,2024-09-04,53475,Tablet,1131.78
627,2025-05-29,257,PC,108.16
628,2025-10-08,65690,Movil,446.77
629,2025-05-19,80654,TV,218.45
630,2025-10-10,39537,Tablet,999.71
631,2024-09-24,45977,Movil,1636.9
632,2025-11-03,70583,TV,214.85
633,2026-02-02,56451,Unknown,1973.24
634,2024-12-27,28403,PC,1728.51
635,2024-09-02,6392,Unknown,1227.4
636,2025-05-08,84842,PC,393.58
637,2025-10-21,51638,PC,170.29
638,2025-07-17,88338,Tablet,1014.03
639,2025-08-07,13054,PC,533.69
640,2024-05-19,80993,TV,50.81
641,2026-03-19,34010,PC,870.15
642,2026-01-28,78133,Auriculares,771.16
643,2024-05-02,20099,PC,208.01
644,2024-06-12,59969,TV,1119.35
645,2026-03-21,8332,PC,1048.71
646,2024-12-08,33713,Auriculares,1528.63
647,2025-03-06,59181,TV,122.62
648,2024-07-01,13134,Auriculares,864.65
649,2024-12-22,57182,Auriculares,308.05
650,2024-12-22,19305,TV,1022.54
651,2025-06-14,73074,Auriculares,1487.0
652,2025-06-27,9999999,PC,1112.32
653,2025-03-12,96463,Tablet,199.55
654,2025-11-14,13667,Tablet,1540.84
655,2024-08-04,63866,PC,1369.75
656,2024-10-08,68171,Tablet,1654.04
657,2024-08-19,97621,Movil,1554.85
658,2024-04-28,4839,TV,728.55
659,2025-04-22,1866,Auriculares,1253.84
660,2024-04-22,37516,PC,333.26
661,2025-08-22,42197,Tablet,241.68
662,2026-03-22,77909,Movil,568.53
663,2024-12-27,10961,TV,1359.15
664,2025-06-26,58636,PC,1475.11
665,2025-03-12,46534,Movil,792.03
666,2024-11-01,29414,Auriculares,1575.74
667,2025-01-11,37442,Auriculares,1503.22
668,2024-09-05,74345,TV,1344.24
669,2024-08-22,19097,Unknown,1455.33
670,2025-03-29,11897,TV,618.56
671,2026-02-08,54435,Auriculares,1020.98
672,2024-09-13,36406,Movil,1595.51
673,2024-04-26,6745,Auriculares,1442.36
674,2025-11-25,52991,PC,1297.7
675,2025-12-29,97476,Movil,561.03
676,2025-08-17,15614,PC,1768.9
677,2025-09-15,58176,Movil,797.73
678,2025-03-10,26464,Auriculares,1231.17
679,2025-07-31,59304,Auriculares,1169.87
680,2024-04-10,77926,Auriculares,569.17
681,2025-12-01,16624,Tablet,81.13
682,2024-05-24,95193,TV,410.9
683,2024-06-05,96531,Movil,296.96
684,2025-01-15,9999999,TV,1633.47
685,2024-11-18,1173,TV,1766.05
686,2024-11-22,15399,PC,1238.92
687,2025-02-14,45056,PC,589.62
688,2024-10-14,79132,Auriculares,1010.79
689,2024-12-30,38765,Auriculares,670.2
690,2026-03-20,72934,Auriculares,1867.97
691,2025-04-27,1422,TV,1980.25
692,2024-06-05,82517,Tablet,480.92
693,2024-09-16,1037,TV,1321.93
694,2025-01-21,15889,PC,293.06
695,2025-03-02,88248,PC,61.2
696,2025-07-06,85073,Tablet,1479.89
697,2025-09-18,52011,Auriculares,516.78
698,2025-02-14,51115,PC,690.14
699,2024-08-18,57134,Auriculares,479.58
700,2024-12-29,26378,Tablet,855.29
701,2025-04-20,25190,Movil,1781.72
702,2025-12-10,51564,TV,1110.75
703,2024-12-07,37702,Auriculares,987.4
704,2026-02-16,12599,Unknown,1456.62
705,2025-01-04,40081,Tablet,1982.62
706,2025-11-15,55150,PC,1589.97
707,2025-11-23,59919,Movil,506.72
708,2024-11-02,73954,PC,614.1
709,2024-05-11,4313,Movil,1814.0
710,2025-12-29,6875,Tablet,501.29
711,2024-09-26,1227,Movil,74.63
712,2026-03-31,78013,Movil,920.89
713,2025-10-14,31334,Tablet,282.01
255,2025-04-06,55583,Movil,952.62
256,2025-06-16,82916,PC,1257.26
714,2025-06-02,23951,TV,1277.42
715,2026-02-23,358,Tablet,811.63
716,2025-04-02,18822,TV,260.37
717,2024-07-06,83191,Movil,1658.55
718,2025-08-24,51620,PC,629.38
719,2025-06-20,37002,Tablet,1566.46
720,2025-09-09,50409,PC,1471.11
721,2026-03-06,42095,Movil,635.39
722,2024-07-11,81006,Movil,972.52
723,2025-07-11,68702,Movil,101.96
724,2024-04-11,16296,Movil,699.24
725,2024-09-26,10000,TV,1845.8
726,2025-12-11,40194,Auriculares,1295.87
727,2025-11-27,87675,Tablet,752.04
728,2025-06-17,8234,TV,1738.68
729,2026-02-09,9175,TV,1291.92
733,2025-01-10,25419,PC,985.05
730,2024-06-09,72538,Movil,278.46
731,2024-07-03,75089,Tablet,335.38
732,2024-05-26,20403,Auriculares,1342.31
734,2025-02-12,23214,Movil,86.11
735,2025-05-09,49735,Tablet,45.91
736,2025-06-06,16181,PC,1466.51
737,2025-02-05,33952,Tablet,1951.91
738,2025-08-20,54857,PC,1993.3
740,2026-02-18,61211,TV,201.54
741,2025-03-27,59705,Tablet,694.12
742,2024-11-13,16039,Movil,701.21
743,2024-12-01,68557,Auriculares,786.5
744,2025-08-10,75628,Tablet,364.14
745,2025-09-11,83691,Auriculares,1149.56
746,2025-01-12,91113,Movil,227.08
747,2024-09-20,85580,TV,157.47
748,2024-05-18,72448,PC,171.0
749,2025-09-25,6438,TV,82.74
750,2024-10-21,99790,TV,1711.86
751,2024-04-29,76126,PC,223.41
752,2024-10-22,507,Movil,741.17
753,2024-10-21,77797,Tablet,1083.39
754,2024-07-22,31758,PC,949.91
755,2026-04-07,32514,Auriculares,1698.82
756,2025-10-10,85989,Movil,1872.29
757,2024-12-27,31696,Auriculares,795.77
758,2026-02-17,98754,Tablet,1200.44
759,2025-07-25,88935,TV,1598.77
760,2025-05-28,47871,PC,1374.23
