id_venta,fecha,id_cliente,producto,importe
0,2024-06-05,9177,tv,525.82
1,2025-10-24,76245,TV,162.21
2,2024-05-28,1188,movil,677.81
3,2024-11-29,88332,TV,1663.37
4,2025-12-11,39471,cascos,598.5
5,2025-07-14,35863,unknown,1427.47
6,2024-10-17,5828,TV,942.26
7,2024-11-22,84578,Tablet,378.44
8,2024-07-04,36431,tv,434.06
9,2025-10-20,96013,Tablet,468.94
10,2026-03-06,61733,tv,1011.31
11,2026-01-14,7754,Auriculares,538.31
12,2026-03-15,12528,cascos,1655.89
13,2026-04-18,9492,telefono,1907.34
14,2025-07-03,55672,ordenador,1634.55
15,2025-07-14,45134,cascos,1936.86
16,2024-07-12,48293,Tablet,1221.41
17,2025-10-08,77419,tablet,1756.3
18,2026-04-15,53897,tv,868.42
19,2026-01-24,273,unknown,1854.67
20,2025-07-12,30126,TV,1249.95
21,2025-04-07,35177,Movil,1647.42
22,2024-07-04,92574,tablet,409.46
23,2026-04-08,82124,Tablet,832.53
24,2025-10-07,63753,ordenador,777.19
25,2025-11-17,18734,Auriculares,252.43
26,2024-12-14,86181,tv,812.8
27,2026-03-13,56242,tablet,618.36
28,2025-02-13,89066,cascos,761.54
29,2025-09-26,69753,Auriculares,984.13
30,2026-03-18,3110,Tablet,1945.72
31,2025-09-13,88349,ordenador,485.01
32,2025-06-24,79668,PC,1586.49
33,2024-08-05,88061,telefono,380.99
34,2025-02-25,49515,ordenador,127.73
35,2026-04-19,25931,cascos,795.62
36,2024-10-25,10655,Auriculares,256.47
37,2026-04-12,13473,movil,1106.94
38,2025-06-22,37895,cascos,18.53
39,2025-11-21,74459,Tablet,645.84
40,2025-02-04,9999999,PC,433.47
41,2024-11-20,65682,telefono,1257.31
42,2024-10-15,23713,TV,1798.87
43,2024-07-16,56946,unknown,62.93
44,2025-01-01,22283,telefono,1447.95
45,2025-12-06,28566,cascos,1132.8
46,2024-11-02,2601,PC,1551.32
47,2024-10-21,39728,tv,1028.46
48,2024-08-23,27224,Auriculares,288.17
49,2026-04-17,58472,tv,263.44
50,2026-04-03,95239,Auriculares,1486.74
51,2024-12-05,51814,PC,1456.87
